,track.uri,track.name,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,time_signature
82,3FrX3mx8qq7SZX2NYbzDoj,Who's That Chick? (feat. Rihanna),0.00372,0.675,201040.0,0.601,0.0,0.0458,-4.733,0.116,127.938,0.931,11.0,4.0
83,4bZd0nRuX8HyjeXAUBczvm,I Cry,0.00616,0.693,223800.0,0.822,1.79e-06,0.315,-5.441,0.0439,126.035,0.763,4.0,4.0
84,1NpW5kyvO4XrNJ3rnfcNy3,Wild Ones (feat. Sia),0.0991,0.608,232947.0,0.86,0.0,0.262,-5.324,0.0554,127.075,0.437,5.0,4.0
85,1nAGuIZXz6vb8XW0xiMqic,Papi,0.134,0.705,223493.0,0.805,0.000139,0.367,-4.887,0.0595,120.022,0.887,4.0,4.0
86,38iU2jg98IZZEIJPrP7aWD,Till the World Ends,0.0228,0.693,237947.0,0.705,0.0,0.202,-5.747,0.0665,131.951,0.45,8.0,4.0
87,5cCAZS9VhLGEDV4NCfieeg,I Wanna Go,0.00379,0.696,210267.0,0.546,3.8e-06,0.332,-6.55,0.0414,130.002,0.787,5.0,4.0
88,7vWFaMq63AwkFDhS2OAg5u,The Time (Dirty Bit),0.0662,0.816,307640.0,0.813,2.77e-06,0.602,-7.798,0.0664,127.979,0.436,6.0,4.0
89,2Vnv7pXiMfMeGilx1r9KCA,Wet (Snoop Dogg Vs. David Guetta) - Remix,0.0067,0.825,342120.0,0.808,0.232,0.0745,-5.855,0.033,130.007,0.5,2.0,4.0
90,0Hf4aIJpsN4Os2f0y0VqWl,Feel This Moment (feat. Christina Aguilera),0.039,0.673,229507.0,0.758,0.0,0.341,-3.632,0.158,135.956,0.542,7.0,4.0
91,1eVXmyWx6J8p8VhPj9nluu,Down For Whatever,0.0904,0.765,233573.0,0.921,0.000138,0.132,-2.88,0.241,127.967,0.475,2.0,4.0
92,7IohFKIwrb75c4XaqX7WWo,This Is Love,0.00473,0.535,279027.0,0.796,0.0,0.145,-3.446,0.0445,128.954,0.282,0.0,4.0
93,3opVsyWVYEAFK9bJAG8Opa,Boom Boom Pow,0.13,0.866,251440.0,0.857,0.0017,0.13,-5.894,0.0664,130.049,0.408,9.0,4.0
94,2gam98EZKrF9XuOkU13ApN,Promiscuous,0.0569,0.808,242293.0,0.97,6.13e-05,0.154,-6.098,0.0506,114.328,0.868,10.0,4.0
95,2a1o6ZejUi8U3wzzOtCOYw,Danza Kuduro,0.0846,0.4,198773.0,0.915,0.0,0.0503,-4.89,0.28,88.917,0.878,0.0,3.0
96,3rfhI32Il2hVRKDkuGeeen,Hey Baby (Drop It to the Floor) (feat. T-Pain),0.0434,0.595,234453.0,0.912,0.0,0.259,-3.428,0.0884,128.024,0.762,10.0,4.0
97,5XVjNRubJUW0iPhhSWpLCj,Better Off Alone,0.00181,0.671,214883.0,0.882,0.667,0.285,-6.149,0.0552,136.955,0.787,8.0,4.0
98,47qhA3AnXep9EEYIAuuhpz,Needin' U - Original Mistake Mix,0.000673,0.679,474707.0,0.982,0.813,0.108,-8.989,0.0481,129.995,0.343,4.0,4.0
99,3e9L9HiHKcfYLAga28Vmcf,Something,0.0271,0.644,220973.0,0.981,9.67e-05,0.11,-6.644,0.0439,140.012,0.379,7.0,4.0
100,72SpPFrMYCXLB3Fbw9tEgf,Heaven,0.0011,0.571,233600.0,0.953,0.000606,0.226,-5.601,0.0548,137.965,0.601,8.0,4.0
101,7cR6SJQLubZTtIrAgteiec,The Logical Song,0.00112,0.523,234933.0,0.888,0.0692,0.46,-8.715,0.0359,144.021,0.534,6.0,4.0
102,2PTvik6EqPAIYOclAB3SU8,All I Ever Wanted - Radio Edit,0.164,0.645,176453.0,0.984,0.00701,0.164,-7.051,0.0508,144.954,0.553,4.0,4.0
103,1arJHhz6TxMV50SNvSmGnV,Ecuador - Original Radio Edit,0.00223,0.591,212133.0,0.888,0.699,0.396,-6.836,0.0354,132.885,0.588,4.0,4.0
104,4wtR6HB3XekEengMX17cpc,Children,0.000298,0.604,243267.0,0.755,0.817,0.0625,-10.761,0.0337,137.064,0.387,0.0,4.0
105,4LzLiaAhbcCMUNFZXngS2G,Lover,0.171,0.606,233093.0,0.973,0.774,0.68,-4.624,0.032,137.995,0.896,3.0,4.0
106,0n7WgacZXU3YjPIsDkZL2H,Land of the Living - Radio Edit,0.137,0.765,198227.0,0.739,1.25e-05,0.173,-7.935,0.0893,139.939,0.422,9.0,4.0
107,0TOkOutlSiFA8obp1vwAFq,I Wanna Dance With Somebody,0.0663,0.625,184387.0,0.953,0.125,0.418,-5.992,0.0423,140.1,0.382,7.0,4.0
108,6mCBye12ZqBciPgHo1ov8i,This Time I Know It's For Real - Radio Edit,0.00564,0.674,190667.0,0.977,0.173,0.338,-3.918,0.0476,136.997,0.815,9.0,4.0
109,2jBsr5rb8anJ7z4jjbh0bC,Bellissima - Radio Edit,0.0023,0.786,194560.0,0.993,0.748,0.0721,-7.398,0.0337,136.012,0.613,3.0,4.0
110,557q3cfw95ChPhoupTVUUZ,Back in My Life,0.000144,0.574,209804.0,0.883,0.839,0.167,-6.532,0.0339,137.968,0.479,0.0,4.0
111,4IpDZx3j87FdGqbsczY4uX,High Energy - Vocal Mix,9.53e-05,0.732,449240.0,0.827,0.368,0.103,-7.614,0.0383,128.012,0.952,5.0,4.0
112,1YsZB1pLIXR0YgiOxUG9cv,On The Beach - Mauro Picotto's CRW Remix,0.0137,0.652,197160.0,0.936,0.00887,0.0566,-8.577,0.0293,137.982,0.561,1.0,4.0
113,22RGeL5eCVCCXeTDZLzYdC,There's Nothing I Won't Do - Original Edit,0.00096,0.614,270333.0,0.972,0.152,0.108,-7.559,0.04,134.619,0.698,2.0,4.0
114,6paUKZ1F2OVmaYiAxtXdhu,Tell It To My Heart,0.0775,0.69,218320.0,0.856,2.03e-05,0.327,-8.907,0.0853,137.867,0.408,7.0,4.0
115,4A56k97klal1TbWHH0DbnE,You're a Superstar - City of Love Club Mix,0.148,0.794,347853.0,0.717,0.148,0.0946,-10.507,0.0535,135.005,0.461,10.0,4.0
