track.uri,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,time_signature,club_compatible
0Qk3jWWQBMclHNIvEj668J,0.737,0.574,217284.0,0.261,0.0,0.114,-11.583,0.0687,73.844,0.187,6.0,4.0,no
5XzrPShwwBPCuGOPZVI2HQ,0.0015,0.612,203486.0,0.99,0.000837,0.435,-6.848,0.0612,140.039,0.468,7.0,4.0,no
4zDjX2tqzr38FJWU5AC267,0.00189,0.703,215467.0,0.922,0.00333,0.301,-5.161,0.0596,125.969,0.775,2.0,4.0,no
5kRD3UiwBRthl0SEB2CAcZ,0.205,0.633,181187.0,0.863,0.0,0.355,-5.498,0.0348,98.018,0.678,6.0,4.0,no
1XnQ4SIaWpVqIz7WxFjFZz,8.24e-05,0.693,341000.0,0.926,0.0163,0.0284,-6.339,0.0463,142.001,0.402,1.0,4.0,no
256USvVYGV2lvW8S6u4ZWp,0.000309,0.686,477293.0,0.67,0.0237,0.0587,-5.889,0.0394,128.0,0.793,8.0,4.0,no
3DVZxClKo2DpVMyOX8ecKz,0.00805,0.579,245907.0,0.882,0.000261,0.114,-5.712,0.0337,136.087,0.494,1.0,4.0,no
4lbUTqZIk42k2R6upLKAu6,0.465,0.66,261733.0,0.329,0.0,0.119,-11.671,0.0327,115.993,0.276,6.0,4.0,no
17Hn8XsaQc5YaxrnCkHNJc,0.0157,0.554,294733.0,0.78,0.504,0.219,-8.817,0.038,76.949,0.698,7.0,4.0,no
7f6yAn4bqxf4lCOEGdoxJB,0.00207,0.583,210274.0,0.946,0.0,0.119,-6.917,0.0841,144.0,0.468,0.0,4.0,no
3QUGWtw2Mtjbd4JB0Sg9h6,0.00316,0.672,165600.0,0.649,0.0,0.0547,-5.073,0.0678,127.915,0.883,2.0,4.0,no
1t6TB4WpdEdrJeAEJYm2kq,0.0036,0.59,202217.0,0.994,2.66e-06,0.285,-4.996,0.118,137.989,0.223,9.0,4.0,no
3as6Wz3mwbTnusWhZjTUNr,0.164,0.687,231147.0,0.771,2.46e-05,0.112,-4.424,0.0384,129.964,0.445,6.0,4.0,no
5HqorZrShWJf5dNLcJLije,0.00099,0.737,283561.0,0.975,6.75e-05,0.389,-5.964,0.0771,142.006,0.698,11.0,4.0,no
56JSwnaB8u3WY5eHEgK8s0,0.00974,0.512,266573.0,0.707,0.0358,0.101,-6.95,0.0439,159.818,0.335,10.0,4.0,no
